"spp.code","bnd","col","ag","sx","site","date.cap.orig","N.96","J.97","M.97","N.97","J.98","M.98","J.99","J.00","J.01","J.02","J.03","nts","date.cap.raw","stat.focals","spp","stat","hab1","diet","sub.site","persist"
"BAWW","375","PP-XP","AHY","F","Aceitillar",1996-11-14,"C","S","","","","","","","","","","","11_14_1996","mig","Black-and-white Warbler","M","EF","I","B2","P"
"BAWW","400","YR-XR","HY","F","Aceitillar",1996-11-19,"C","","","","","","","","","","","W","11_19_1996","mig","Black-and-white Warbler","M","EF","I","B1","NP"
"BAWW","2390_24347","BY-XB","AHY","M","Aceitillar",1997-03-11,"","","C","","","","","","","","","W","3_11_1997","mig","Black-and-white Warbler","M","EF","I","B1","NP"
"BAWW","2390_24346","RX-YY","HY","F","Aceitillar",1997-03-11,"","","CC","S","CS","CS","","","","","","","3_11_1997","mig","Black-and-white Warbler","M","EF","I","B1","P"
"BAWW","2390_24062","RX-BB","HY","M","Aceitillar",1997-01-26,"","C","","","","","","","","","","W","1_26_1997","mig","Black-and-white Warbler","M","EF","I","B1","NP"
"BAWW","2140_20704","X-","HY","M","Aceitillar",2000-01-25,"","","","","","","","C","","","","W","1_25_2000","mig","Black-and-white Warbler","M","EF","I","B2","NP"
"BAWW","1950_82575","XA-RR","HY","F","Aceitillar",1997-11-12,"","","","C","","S","","","","","","res. In P2","11_12_1997","mig","Black-and-white Warbler","M","EF","I","B1","P"
"BAWW","386","XB-RR","HY","F","Aceitillar",1996-11-15,"C","","S","","","S","","","","","","","11_15_1996","mig","Black-and-white Warbler","M","EF","I","B2","P"
"BAWW","2200_16433","X-","HY","F","Aceitillar",2001-02-01,"","","","","","","","","C","","","W","2_1_2001","mig","Black-and-white Warbler","M","EF","I","B2","NP"
"BAWW","1760_22680","XY-GG","HY","F","Aceitillar",1998-01-22,"","","","","C","","","","","","","W","1_22_1998","mig","Black-and-white Warbler","M","EF","I","B1","NP"
"BAWW","2140_20708","X-","HY","M","Aceitillar",2000-01-26,"","","","","","","","C","","","","W","1_26_2000","mig","Black-and-white Warbler","M","EF","I","B1","NP"
"BAWW","2390_24333","XP-YY","AHY","F","Aceitillar",1997-03-06,"","","C","","","","","","","","","W","3_6_1997","mig","Black-and-white Warbler","M","EF","I","B2","NP"
"BAWW","2390_24335","BR-XB","AHY","F","Aceitillar",1997-03-06,"","","C","S","","","","","","","","","3_6_1997","mig","Black-and-white Warbler","M","EF","I","B2","P"
"BAWW","2390_24331","XP-RB","HY","F","Aceitillar",1997-03-06,"","","C","","","","","","","","","W","3_6_1997","mig","Black-and-white Warbler","M","EF","I","B2","NP"
"BAWW","390","XB-YY","AHY","M","Aceitillar",1996-11-16,"C","C","","CS","","CS","","","","","","","11_16_1996","mig","Black-and-white Warbler","M","EF","I","B2","P"
"BAWW","1760_22661","YY-GX","HY","F","Aceitillar",1998-01-17,"","","","","C","","","","","","","W","1_17_1998","mig","Black-and-white Warbler","M","EF","I","B2","NP"
"BAWW","2390_24061","XB-YB","HY","M","Aceitillar",1997-01-25,"","C","","C","CS","S","","","","","","","1_25_1997","mig","Black-and-white Warbler","M","EF","I","B1","P"
"BAWW","1950_82048","XR-PY","AHY","M","Aceitillar",1996-11-21,"C","","","","","S","","","","","","","11_21_1996","mig","Black-and-white Warbler","M","EF","I","B1","P"
"BAWW","2390_24035","XB-BR","HY","M","Aceitillar",1997-01-20,"","C","CS","","S","","","","","","","","1_20_1997","mig","Black-and-white Warbler","M","EF","I","B2","P"
"BAWW","1950_82033","XR-RY","AHY","M","Aceitillar",1996-11-20,"C","CS","CS","S","C","S","","","","","","","11_20_1996","mig","Black-and-white Warbler","M","EF","I","B1","P"
"BAWW","1760_22682","XY-YA","HY","F","Aceitillar",1998-01-23,"","","","","CS","","","","","","","","1_23_1998","mig","Black-and-white Warbler","M","EF","I","B1","P"
"BAWW","1950_82573","RX-AA","AHY","M","Aceitillar",1997-11-11,"","","","C","","C","","","","","","","11_11_1997","mig","Black-and-white Warbler","M","EF","I","B1","P"
