"spp.code","site","band.pre","band.suf","colors","age","sex","date","wing","tarsus","mass","fat","pec","notes","year","year.num","beak","date2","site.age.init","site.age","band","status.focals","spp","status2","hab1","diet"
"AMRE","La Caoba","2240","21519","RX-YB","AHY","M","11-Nov-03",61.5,16.7,7.2,"0",0,NA,"2003-2004",2003,NA,2003-11-11,5,5,"2240-21519","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21593","WY-WX","HY","M","12-Nov-04",60.5,17,7.2,"1",0,NA,"2004-2005",2004,NA,2004-11-12,5,6,"2240-21593","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21827","XR-WW","AHY","F","7-Jan-05",61,17.8,6.9,"0",0,NA,"2004-2005",2004,NA,2005-01-07,2,3,"2240-21827","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21960","BY-XY","AHY","F","16-Feb-07",NA,NA,NA,NA,NA,"x","2006-2007",2006,NA,2007-02-16,2,5,"2240-21960","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21992","X-","AHY","F","7-Jan-08",NA,NA,NA,NA,NA,NA,"2007-2008",2007,NA,2008-01-07,2,6,"2240-21992","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21566","RR-XY","HY","F","8-Nov-04",60,17,7.6,"0",0,NA,"2004-2005",2004,NA,2004-11-08,2,3,"2240-21566","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21573","YX-YY","HY",NA,"13-Nov-04",NA,NA,NA,NA,NA,NA,"2004-2005",2004,NA,2004-11-13,5,6,"2240-21573","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21550","XW-WW","AHY","F","19-Feb-04",NA,NA,NA,NA,NA,NA,"2003-2004",2003,NA,2004-02-19,2,2,"2240-21550","mig","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21944","YX-WY","HY","F","23-Jan-07",NA,NA,NA,NA,NA,"x","2006-2007",2006,NA,2007-01-23,20,23,"2240-21944","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21949","YW-XY","AHY","F","17-Feb-07",NA,NA,NA,NA,NA,"x","2006-2007",2006,NA,2007-02-17,2,5,"2240-21949","mig","American Redstart","M","EF","I"
